Transaction Type,Transaction Amount,Sender Balance Before,Sender Balance After,Recipient Balance Before,Recipient Balance After,Fraud/Not
Online,6496,26986,20490,38273,44768,Yes
Chip,7578,26156,18578,42842,50420,No
Online,762,78606,77843,45314,46077,Yes
Chip,5421,8133,2711,63504,68926,No
Swipe,2540,65802,63262,74957,77497,No
Chip,4106,88574,84469,46496,50601,Yes
Swipe,5116,10094,4978,59831,64946,No
Swipe,8970,27621,18652,79583,88553,No
Online,2996,79657,76661,20723,23719,Yes
Online,6735,42932,36197,19878,26613,No
Online,4573,61585,57012,85223,89796,No
Chip,9548,53782,44234,94302,103850,No
Swipe,9155,37725,28570,94919,104073,Yes
Online,9335,17659,8324,25498,34833,No
Chip,5386,6052,666,9456,14842,No
Swipe,706,80806,80101,21412,22118,Yes
Chip,788,17153,16365,81115,81903,No
Swipe,5030,53075,48045,90051,95081,Yes
Chip,9459,63841,54382,98094,107553,No
Swipe,5168,6346,1178,84398,89565,No
Online,4401,28039,23638,22768,27169,Yes
Online,2625,6617,3992,38718,41343,No
Chip,9220,12297,3077,21312,30532,No
Chip,5091,7663,2572,40059,45150,Yes
Online,9225,26630,17405,42938,52163,Yes
Chip,587,47001,46414,81535,82122,Yes
Chip,2971,9264,6293,49005,51976,Yes
Chip,2399,97083,94684,68778,71177,Yes
Online,3771,56236,52464,37335,41107,No
Chip,1294,16869,15575,85511,86805,No
Chip,4361,96005,91644,13250,17611,Yes
Chip,6885,44813,37928,57071,63956,No
Swipe,2678,9738,7060,74945,77623,Yes
Online,2310,11807,9496,45625,47936,Yes
Online,3312,51642,48330,49795,53108,No
Chip,3095,13382,10286,29964,33060,Yes
Chip,1184,49311,48127,31386,32570,No
Online,3047,80487,77441,16285,19331,Yes
Chip,4199,27063,22863,65090,69289,Yes
Online,7954,35748,27794,48159,56113,No
Swipe,8456,19838,11382,60214,68670,Yes
Swipe,5287,24027,18740,22214,27501,No
Online,9296,12196,2900,37145,46441,Yes
Swipe,5095,18227,13132,4383,9478,No
Swipe,9761,58056,48295,5941,15702,Yes
Online,6777,39953,33176,72796,79573,No
Online,210,33734,33524,24864,25074,No
Swipe,2941,38433,35491,75332,78273,Yes
Online,6655,62778,56123,92987,99642,Yes
Online,8592,36746,28153,67577,76169,No
Online,1898,71435,69537,65493,67391,Yes
Swipe,2169,19885,17716,37186,39355,Yes
Online,2836,77939,75102,15438,18275,Yes
Online,8256,85309,77053,6169,14425,Yes
Swipe,9783,28491,18709,89145,98927,No
Swipe,7245,10993,3748,62057,69302,Yes
Online,6812,92007,85195,44030,50842,Yes
Chip,4049,16604,12556,48926,52975,No
Swipe,6207,17067,10860,91560,97766,No
Swipe,2424,84885,82462,33603,36027,Yes
Chip,8949,59756,50808,2678,11626,Yes
Chip,3459,98183,94724,13054,16513,No
Chip,644,26091,25448,50241,50884,Yes
Swipe,71,38970,38899,71477,71548,No
Chip,3851,5652,1801,30070,33922,No
Swipe,832,52041,51208,59912,60744,Yes
Chip,9880,35486,25606,55258,65139,No
Online,2479,42485,40007,39608,42087,Yes
Swipe,9984,43620,33636,33030,43014,Yes
Chip,9416,75861,66445,27948,37364,Yes
Online,5804,52166,46361,78986,84790,No
Chip,3588,61402,57815,91488,95075,Yes
Swipe,383,96179,95796,35977,36360,Yes
Chip,1215,35874,34659,1182,2398,No
Chip,8040,69886,61847,1305,9344,Yes
Online,7383,56937,49553,86665,94048,No
Online,9341,91926,82585,15161,24502,Yes
Chip,7689,81271,73582,71773,79462,No
Online,9777,51610,41834,4157,13934,Yes
Swipe,7167,25123,17955,55019,62186,Yes
Online,1368,18363,16995,70150,71518,No
Swipe,4303,5750,1446,30184,34487,Yes
Online,7202,25038,17836,55503,62704,Yes
Online,2830,77008,74179,86392,89222,Yes
Swipe,414,48425,48011,66915,67329,Yes
Swipe,5074,70631,65557,8802,13876,No
Chip,189,26575,26386,29266,29455,No
Swipe,95,69426,69331,42607,42703,Yes
Chip,7667,10679,3013,16826,24493,Yes
Chip,8139,73213,65073,13109,21248,No
Chip,4280,96445,92165,89044,93324,Yes
Online,5063,99170,94107,26505,31568,Yes
Online,3843,40856,37013,36735,40578,No
Online,2835,56571,53737,25668,28503,No
Online,9285,57271,47986,14106,23390,Yes
Swipe,5360,42287,36927,29769,35129,No
Online,6390,16140,9750,87824,94215,No
Swipe,8439,46228,37788,61900,70339,Yes
Swipe,4805,67173,62367,72105,76911,No
Online,270,44521,44252,86599,86869,No
Swipe,2876,84479,81603,58315,61191,Yes
Online,8705,78910,70205,32399,41105,Yes
Swipe,8779,46100,37321,43521,52300,Yes
Online,1881,45146,43265,85608,87489,No
Online,9004,26951,17947,95986,104990,Yes
Online,2877,92266,89389,55964,58842,No
Swipe,5353,8873,3520,29214,34567,No
Chip,5408,7596,2188,12158,17566,Yes
Chip,9273,66714,57441,39271,48544,Yes
Online,9323,36254,26932,83989,93311,No
Online,4396,39614,35217,72958,77354,No
Swipe,3423,4243,820,38746,42169,Yes
Chip,5455,30952,25497,78848,84304,No
Chip,3620,20886,17266,55384,59004,No
Online,6028,71948,65920,37218,43246,Yes
Swipe,4228,51817,47589,8595,12823,No
Swipe,640,46816,46176,28015,28655,No
Swipe,8078,37531,29453,35657,43735,No
Chip,402,88744,88342,11712,12114,Yes
Swipe,7166,37618,30451,67695,74861,No
Swipe,2149,29961,27812,46715,48864,Yes
Online,2767,42229,39462,1843,4610,No
Swipe,7428,75386,67958,88975,96403,Yes
Chip,6492,93291,86798,69281,75774,No
Chip,9805,90548,80743,13826,23631,Yes
Online,2397,96493,94096,81600,83997,No
Chip,8688,11043,2355,79498,88186,Yes
Swipe,4617,64863,60247,84452,89068,Yes
Swipe,5965,57830,51865,53253,59218,No
Swipe,1944,7652,5708,96873,98817,Yes
Online,5096,77415,72319,51993,57089,Yes
Online,293,81226,80933,65711,66004,Yes
Swipe,1452,13920,12468,5719,7171,Yes
Swipe,4790,13802,9012,52484,57275,Yes
Chip,3983,70330,66347,58067,62050,No
Swipe,8554,34347,25793,10130,18684,Yes
Online,7667,16643,8976,56554,64221,Yes
Online,3738,44183,40445,68441,72179,Yes
Swipe,8393,19813,11420,84362,92756,No
Swipe,2627,70567,67940,96745,99373,Yes
Chip,9095,60656,51561,44673,53769,No
Online,4699,81688,76989,63503,68203,No
Online,9831,49079,39248,11538,21370,No
Chip,4162,47587,43425,72280,76441,No
Online,4707,63222,58515,52111,56818,Yes
Swipe,2717,17888,15171,33413,36130,No
Online,1693,7364,5672,9532,11224,No
Online,6462,94049,87587,70273,76735,No
Chip,4804,93382,88578,25370,30175,No
Chip,7537,38388,30851,57800,65337,Yes
Chip,6065,11119,5054,65585,71650,No
Online,8060,75122,67063,49824,57883,Yes
Swipe,4574,88232,83658,82250,86824,No
Swipe,1544,71349,69805,38885,40429,Yes
Swipe,3741,78898,75157,82623,86364,Yes
Online,7480,22965,15485,65310,72790,Yes
Chip,4028,80358,76330,16799,20827,No
Chip,3973,56627,52654,85706,89680,No
Online,9800,88584,78784,38750,48550,Yes
Swipe,478,11543,11065,47226,47704,No
Swipe,5272,10118,4846,95173,100444,Yes
Swipe,6383,92884,86501,74073,80456,Yes
Chip,6224,38217,31993,33102,39326,Yes
Online,3365,55841,52476,84347,87711,Yes
Swipe,3355,14589,11234,18373,21728,No
Online,6363,40300,33937,37407,43769,No
Online,9765,89434,79669,91935,101700,Yes
Chip,5991,87585,81593,2809,8800,No
Swipe,802,93064,92262,7210,8012,No
Chip,904,55625,54721,33980,34885,No
Online,9254,42196,32942,76831,86085,No
Swipe,4919,41488,36569,64956,69875,No
Chip,3628,88156,84528,81094,84723,Yes
Swipe,3984,88885,84901,7534,11518,No
Online,56,76688,76631,37551,37607,No
Chip,9083,27528,18445,59226,68309,No
Chip,7195,42513,35317,71834,79030,No
Swipe,1102,74271,73169,4978,6080,No
Chip,5361,23431,18070,72085,77446,Yes
Online,4979,42804,37824,86885,91864,Yes
Swipe,2761,80229,77468,88016,90778,Yes
Chip,3813,92937,89124,89897,93710,No
Chip,8104,92992,84888,47002,55106,Yes
Chip,420,81347,80927,54702,55121,No
Online,5312,8758,3445,54660,59972,No
Online,2490,98946,96456,31004,33494,No
Online,1878,92659,90781,68543,70420,No
Chip,8394,90226,81832,1501,9894,Yes
Swipe,2679,6953,4274,13890,16569,Yes
Chip,7180,78541,71361,1367,8547,Yes
Swipe,6722,44529,37807,86016,92738,Yes
Swipe,7811,85774,77963,81416,89227,Yes
Chip,1703,76550,74847,69491,71194,Yes
Swipe,8516,93811,85296,55821,64336,Yes
Swipe,2680,95725,93045,96317,98997,Yes
Chip,4386,15007,10620,63102,67488,No
Online,2385,32892,30507,62784,65169,No
Swipe,2901,73828,70927,39931,42833,No
Online,5549,72502,66954,45735,51283,No
Swipe,5610,44031,38421,15749,21359,Yes
Chip,5678,70025,64347,68963,74641,No
Online,5019,71280,66261,6528,11546,Yes
Swipe,5195,84124,78929,14404,19599,No
Chip,8428,37371,28942,37004,45432,No
Chip,2666,61002,58336,29957,32624,No
Online,2778,12221,9444,43357,46134,No
Swipe,4461,19348,14887,34367,38828,No
Swipe,7810,52096,44286,15858,23668,Yes
Online,5416,70920,65504,96082,101498,Yes
Swipe,4760,93401,88641,82428,87188,No
Online,1636,75262,73626,36629,38265,No
Chip,1451,77258,75807,34363,35815,Yes
Chip,7824,42405,34581,79514,87338,Yes
Online,655,49592,48937,11127,11782,No
Chip,9401,29521,20120,84905,94306,Yes
Chip,5834,83921,78087,16415,22249,No
Chip,9675,54478,44803,49390,59064,No
Online,5873,37513,31640,99287,105159,Yes
Online,2514,81525,79011,93595,96109,Yes
Swipe,7013,81488,74476,13668,20680,No
Chip,1818,89351,87533,25600,27418,No
Online,2682,6608,3926,69291,71973,No
Chip,7835,48138,40303,85487,93323,No
Swipe,9011,47183,38172,95218,104229,Yes
Swipe,5646,92290,86644,25024,30671,No
Chip,4583,53641,49058,61371,65953,No
Online,2441,62327,59886,24313,26753,Yes
Swipe,1112,18298,17185,13730,14842,Yes
Online,4684,79563,74878,87417,92101,No
Online,3362,60880,57518,61641,65003,Yes
Online,5481,49133,43652,42555,48036,No
Chip,3545,17054,13509,13921,17466,Yes
Chip,6819,77360,70542,29839,36657,No
Chip,588,90102,89514,3456,4045,No
Online,6695,33781,27085,66167,72862,No
Online,7554,45810,38256,32579,40133,No
Chip,6684,81628,74944,16747,23430,No
Chip,375,93816,93441,1761,2136,Yes
Chip,4102,77491,73389,35749,39851,Yes
Swipe,2918,29387,26469,9809,12727,Yes
Chip,7564,11686,4122,96893,104457,No
Swipe,1131,82646,81516,74530,75660,No
Chip,8605,14228,5623,47098,55702,No
Online,3261,25203,21942,33347,36609,No
Chip,6263,39481,33218,76787,83050,No
Swipe,7506,30424,22918,45249,52755,No
Online,5681,59434,53753,51479,57160,Yes
Online,6545,88157,81612,17242,23787,Yes
Swipe,9811,39287,29475,62499,72310,Yes
Chip,2771,11945,9174,61861,64633,No
Online,3008,99257,96249,65254,68262,Yes
Chip,4815,65040,60225,85455,90270,Yes
Swipe,1425,50848,49422,68553,69978,No
Online,7673,43336,35663,45482,53155,Yes
Online,6619,34230,27611,21443,28062,No
Chip,7441,65818,58377,68987,76428,Yes
Online,4326,31671,27345,32717,37043,No
Online,8207,55014,46807,89792,97999,No
Swipe,9618,69310,59693,97801,107418,No
Chip,8174,20127,11953,63247,71422,Yes
Swipe,7161,20705,13544,79689,86850,No
Online,8577,76176,67599,79654,88231,Yes
Online,9550,85580,76030,4834,14384,Yes
Online,2010,99200,97189,33057,35068,Yes
Swipe,9156,17584,8428,93990,103146,No
Online,4293,81955,77662,90032,94324,Yes
Chip,1347,94143,92797,49174,50521,No
Swipe,8278,48939,40660,26,8304,No
Online,159,27027,26868,6870,7029,No
Swipe,7859,96253,88394,9674,17532,No
Online,6110,18372,12262,24911,31021,Yes
Chip,8709,52805,44096,27354,36063,Yes
Online,3258,19737,16479,99915,103173,No
Chip,4751,30191,25440,79928,84678,No
Chip,4229,25437,21209,36331,40559,No
Online,2049,17937,15888,50072,52121,No
Swipe,8639,34971,26332,62985,71624,Yes
Online,4299,28127,23828,12699,16998,No
Swipe,6346,10191,3845,83460,89806,Yes
Swipe,9036,40836,31800,4651,13687,No
Swipe,2758,31615,28857,23964,26722,Yes
Online,547,70237,69689,82606,83153,Yes
Online,5685,74538,68853,78131,83816,No
Online,8251,21356,13105,93859,102110,Yes
Chip,2249,24683,22434,43425,45674,Yes
Chip,3694,88410,84717,67657,71351,No
Chip,2633,5987,3354,22277,24910,No
Online,9891,16168,6276,69151,79042,No
Online,6768,12078,5310,39959,46727,No
Chip,9479,48710,39230,64805,74284,No
Chip,1612,11578,9966,16298,17911,Yes
Chip,8523,65684,57161,77523,86046,No
Chip,8843,14514,5671,10316,19159,Yes
Online,3332,99914,96582,66623,69955,Yes
Chip,8490,96071,87582,66620,75110,Yes
Chip,5084,16440,11356,34137,39222,Yes
Online,6870,47083,40212,5903,12773,No
Online,5510,57934,52424,57413,62923,No
Chip,9742,25885,16143,34152,43894,No
Online,7525,90517,82993,40615,48140,No
Chip,2738,92091,89353,31761,34499,Yes
Chip,8644,53158,44514,76204,84848,Yes
Swipe,3701,48428,44726,30847,34548,No
Swipe,3589,73062,69473,43023,46612,Yes
Chip,7813,64494,56681,57913,65726,Yes
Online,9691,73003,63311,43092,52783,No
Swipe,8594,81022,72428,81232,89826,Yes
Swipe,2403,73264,70860,25018,27422,Yes
Chip,6595,14113,7518,66096,72691,Yes
Chip,5727,82663,76935,57798,63525,Yes
Swipe,889,56316,55427,45490,46379,Yes
Online,8722,19601,10879,89159,97881,No
Online,3741,74547,70806,64626,68366,Yes
Swipe,365,3077,2712,76107,76473,Yes
Swipe,1528,35075,33547,6907,8435,Yes
Online,4072,4148,75,23063,27136,No
Chip,9793,43810,34017,25913,35706,No
Chip,8525,64663,56138,36940,45465,No
Online,6846,73795,66949,43193,50039,Yes
Chip,5477,13378,7901,56519,61996,No
Chip,1147,2590,1443,78536,79683,Yes
Swipe,5977,35116,29139,59454,65431,Yes
Swipe,6120,10783,4663,69261,75382,No
Swipe,5854,96394,90539,59676,65530,No
Chip,4528,27636,23108,12482,17011,No
Online,2224,12807,10583,27859,30083,Yes
Online,1038,94092,93054,93804,94842,Yes
Chip,2624,14709,12085,77577,80202,No
Swipe,2472,28543,26072,84391,86862,No
Online,4830,32875,28044,41473,46303,No
Swipe,9720,66165,56445,76269,85990,No
Chip,2987,94143,91156,65506,68494,Yes
Online,4841,40957,36116,23500,28340,Yes
Swipe,811,17106,16294,17805,18616,No
Chip,1793,85291,83497,30458,32251,No
Swipe,540,32199,31659,82868,83408,No
Online,9143,88629,79486,80974,90117,No
Swipe,4047,70932,66885,96710,100757,No
Chip,4298,80595,76297,63484,67782,No
Online,4329,77464,73135,43867,48196,Yes
Swipe,3367,92546,89179,59532,62899,Yes
Chip,3599,4875,1276,1818,5417,Yes
Swipe,9606,70817,61211,74270,83876,No
Swipe,7540,78910,71370,72498,80038,Yes
Chip,4398,37216,32818,22280,26678,No
Swipe,5931,67584,61653,91441,97373,Yes
Swipe,8135,44798,36663,67415,75550,Yes
Chip,415,41375,40960,16158,16573,Yes
Chip,9459,56993,47534,6671,16129,Yes
Swipe,9378,91248,81870,7297,16675,No
Chip,6877,32764,25886,10244,17121,No
Swipe,3382,28625,25243,17143,20525,Yes
Swipe,7875,38551,30676,4719,12594,Yes
Swipe,8912,95008,86096,87966,96877,Yes
Online,8542,23942,15400,70668,79210,No
Online,2837,67772,64935,63073,65910,Yes
Swipe,7359,64876,57517,84097,91455,Yes
Chip,7529,8664,1134,9399,16928,Yes
Chip,6068,6444,375,61679,67747,Yes
Swipe,4997,44845,39848,73764,78761,No
Swipe,1904,68781,66877,33860,35764,No
Online,2487,5740,3253,94834,97321,No
Online,3464,96211,92747,39723,43187,Yes
Chip,1976,4278,2302,82863,84839,No
Swipe,8709,56105,47396,14042,22751,No
Swipe,2192,36984,34792,1007,3199,Yes
Chip,214,28416,28202,99083,99297,No
Online,6623,20803,14180,83105,89728,No
Online,3927,90753,86827,40848,44775,No
Swipe,9763,72042,62279,10775,20538,No
Swipe,6052,8907,2855,71519,77572,Yes
Swipe,3588,69576,65988,6944,10532,Yes
Chip,9077,68834,59757,47907,56984,No
Chip,1541,7943,6402,35882,37423,No
Online,9117,80061,70944,33556,42673,Yes
Online,9340,45325,35985,88650,97990,No
Chip,4418,20494,16076,29532,33950,No
Swipe,8534,35417,26883,63297,71830,Yes
Online,7660,43313,35653,41767,49427,No
Swipe,9264,96822,87558,76896,86160,No
Swipe,6526,45639,39112,59919,66445,Yes
Swipe,6873,56064,49190,79431,86304,No
Online,2689,8956,6267,78296,80985,No
Online,1208,62976,61768,48847,50055,Yes
Online,545,5352,4807,67093,67638,Yes
Swipe,2793,35054,32261,10770,13563,Yes
Chip,4627,47366,42739,85741,90367,Yes
Chip,1628,15068,13439,33437,35066,No
Swipe,6884,42711,35827,72034,78918,No
Swipe,108,43636,43528,47835,47943,Yes
Swipe,6659,48315,41656,77476,84135,No
Chip,3345,72431,69087,24073,27418,No
Chip,83,61462,61379,29292,29375,Yes
Swipe,187,31197,31010,53226,53413,Yes
Chip,4325,18864,14539,19605,23930,Yes
Swipe,5244,92943,87699,12944,18188,Yes
Chip,2710,69041,66331,68262,70972,No
Swipe,5953,75536,69583,18731,24684,No
Online,5604,19067,13463,98663,104267,No
Chip,6874,96282,89407,79385,86259,Yes
Chip,5933,25502,19569,56359,62292,Yes
Online,6065,22809,16743,11263,17328,No
Chip,7773,10935,3162,22793,30565,No
Chip,4304,93485,89181,6512,10816,Yes
Swipe,917,30679,29762,9490,10407,Yes
Online,6751,96120,89369,17136,23887,No
Online,3475,15238,11763,85776,89251,Yes
Swipe,1706,32903,31197,96859,98566,Yes
Online,4977,92199,87222,35212,40190,Yes
Swipe,7316,82940,75625,83193,90509,No
Online,5321,22576,17255,83885,89206,No
Online,8802,88792,79989,39579,48382,No
Online,7258,63597,56339,6281,13539,No
Swipe,8455,96345,87889,48553,57008,No
Swipe,8073,61683,53610,32946,41019,No
Online,2351,50024,47672,37578,39930,Yes
Chip,792,25348,24557,41220,42011,No
Online,1100,49161,48061,37934,39034,No
Online,9179,68477,59298,93517,102696,No
Online,3981,34377,30396,53884,57866,Yes
Online,2070,24292,22222,26158,28227,Yes
Online,5198,61149,55950,24541,29739,No
Online,811,8069,7258,46081,46892,No
Chip,7858,30316,22458,39176,47034,Yes
Swipe,2717,56082,53365,95924,98641,Yes
Swipe,8212,61428,53216,27148,35361,No
Swipe,8857,98884,90028,14339,23196,Yes
Swipe,610,23362,22753,6724,7334,No
Online,9845,92396,82550,93637,103482,Yes
Swipe,4697,63703,59007,45294,49990,No
Online,7501,25618,18118,46828,54329,Yes
Online,6007,64513,58507,79459,85466,No
Swipe,5480,63266,57786,54085,59565,No
Online,2880,82116,79236,2867,5747,No
Online,8960,37557,28597,37187,46146,Yes
Swipe,2123,5643,3520,79715,81838,Yes
Online,258,25836,25579,53527,53785,Yes
Chip,1707,98489,96782,20393,22100,No
Swipe,1842,86769,84927,4105,5947,No
Online,5613,47502,41888,72169,77783,Yes
Swipe,2184,41711,39527,20416,22599,No
Chip,5354,14648,9293,72452,77807,No
Chip,1690,44133,42443,8514,10204,No
Online,2527,69759,67232,6421,8948,No
Swipe,47,93961,93914,4328,4374,No
Online,4328,14177,9849,76011,80339,Yes
Online,5363,75168,69805,9815,15178,Yes
Chip,9294,59716,50422,93493,102787,No
Chip,2429,7408,4979,22771,25200,No
Swipe,4534,43533,38999,62168,66702,Yes
Online,3037,64006,60968,9487,12524,No
Online,7357,63599,56242,71508,78864,Yes
Chip,8020,66913,58893,29038,37059,No
Online,8729,16080,7352,70527,79256,No
Swipe,578,8227,7649,25110,25688,Yes
Swipe,3784,8538,4753,69275,73059,No
Swipe,7866,12430,4563,49793,57660,No
Online,9378,99877,90499,63475,72854,Yes
Swipe,3507,43226,39718,5704,9211,No
Swipe,750,12498,11748,28440,29190,No
Online,3790,51675,47884,64347,68138,Yes
Chip,176,35585,35409,72195,72371,Yes
Chip,9727,70731,61005,36685,46411,Yes
Online,9719,43225,33507,19275,28993,No
Swipe,9261,69159,59898,51901,61162,Yes
Swipe,2437,39263,36826,13037,15474,No
Chip,1353,52245,50893,58490,59842,Yes
Chip,9441,44177,34736,56829,66270,Yes
Swipe,1864,36418,34554,73595,75459,Yes
Swipe,6258,98433,92175,894,7153,Yes
Swipe,5466,18491,13025,27622,33088,Yes
Swipe,8716,87395,78679,37463,46178,Yes
Chip,4610,18195,13585,7657,12267,No
Online,549,10844,10295,56636,57185,Yes
Chip,2484,49478,46994,79737,82222,No
Online,2644,24703,22059,77223,79867,Yes
Online,3377,47600,44223,44149,47526,Yes
Chip,8007,61437,53430,23437,31444,No
Chip,7485,36270,28785,64283,71769,No
Online,5661,92883,87223,95150,100811,Yes
Chip,9720,76955,67235,51576,61296,Yes
Swipe,887,45459,44573,89249,90136,No
Online,2751,64169,61418,58790,61541,Yes
Chip,6098,84390,78292,15963,22061,Yes
Chip,6806,60562,53756,44641,51447,No
Swipe,866,82214,81347,49899,50766,No
Chip,3300,35487,32187,13101,16401,No
Online,1760,9125,7365,43553,45313,No
Online,7047,57967,50920,91310,98357,No
Chip,9495,91077,81583,18951,28446,Yes
Online,4107,87480,83373,1355,5463,No
Chip,8149,9882,1733,29717,37865,No
Swipe,1792,91439,89647,52469,54261,No
Chip,6813,95235,88422,74171,80984,No
Chip,5083,92990,87906,75380,80463,Yes
Online,4272,44317,40045,84398,88669,Yes
Online,2259,77702,75443,45235,47493,Yes
Chip,3647,19233,15585,24765,28412,No
Chip,6602,24647,18045,47092,53694,Yes
Swipe,5261,96813,91552,54378,59639,Yes
Swipe,2985,44140,41156,84289,87273,Yes
Swipe,7252,41241,33990,54340,61592,No
Chip,6356,91254,84898,28454,34810,Yes
Swipe,322,21257,20935,68141,68463,Yes
Chip,1594,12546,10952,72047,73641,No
Chip,5182,89655,84474,44536,49717,No
Online,351,24581,24230,38185,38536,Yes
Swipe,6788,77146,70358,13382,20170,Yes
Swipe,192,88825,88633,32007,32199,Yes
Online,349,31783,31434,5182,5532,No
Chip,9938,72734,62796,45676,55614,Yes
Chip,6582,91575,84993,28308,34890,No
Swipe,6216,88661,82444,49099,55315,No
Online,3291,57265,53974,2174,5466,Yes
Swipe,8579,42007,33428,88835,97414,Yes
Swipe,8733,64349,55616,93242,101974,Yes
Online,7134,94979,87845,61891,69025,No
Chip,1836,6817,4981,86570,88406,No
Swipe,4841,35277,30436,12195,17036,Yes
Chip,9761,41092,31331,64141,73903,No
Swipe,9180,76194,67015,45614,54794,Yes
Online,6596,93853,87258,55357,61953,Yes
Swipe,9402,42504,33103,11636,21038,No
Swipe,6314,72281,65967,31736,38050,Yes
Online,5578,48994,43416,73816,79394,Yes
Online,5649,49698,44049,41245,46894,No
Swipe,2846,38520,35674,18604,21449,Yes
Swipe,7761,95541,87780,73803,81565,No
Swipe,7223,69158,61935,55086,62309,Yes
Online,1763,27183,25419,18770,20533,Yes
Swipe,5752,64611,58859,89715,95467,No
Swipe,6219,46113,39895,85167,91386,Yes
Online,6883,69012,62130,90959,97842,No
Online,5643,65948,60304,33393,39036,No
Online,9094,46315,37221,24361,33455,Yes
Swipe,1220,16833,15613,59731,60951,Yes
Online,925,91599,90674,81367,82292,No
Swipe,1000,86181,85181,17845,18845,No
Swipe,7410,13366,5956,47511,54921,No
Swipe,9888,28000,18112,80889,90777,No
Online,8072,53472,45400,67668,75740,Yes
Swipe,2044,82319,80276,5043,7087,Yes
Online,8573,33131,24558,62288,70861,No
Chip,5087,67202,62115,95389,100476,No
Online,923,85952,85029,67495,68418,No
Online,4753,7893,3141,43659,48411,Yes
Swipe,6890,29712,22822,81639,88529,No
Online,5693,47996,42303,66370,72063,No
Swipe,1002,99647,98645,12666,13668,No
Chip,4687,78864,74178,30581,35268,Yes
Swipe,6813,50293,43479,43654,50467,No
Swipe,9473,19925,10452,54701,64175,Yes
Online,9619,38408,28789,38565,48184,No
Swipe,6557,48709,42152,14099,20657,No
Online,8336,73736,65400,88799,97135,Yes
Chip,8722,11508,2786,61574,70297,Yes
Online,6810,83541,76732,82307,89116,Yes
Online,2593,88362,85768,4571,7165,Yes
Online,1109,75581,74472,40421,41530,No
Chip,6427,63631,57204,83366,89793,No
Swipe,8465,25159,16694,86561,95026,No
Online,5786,55425,49639,65862,71648,Yes
Swipe,6788,98685,91897,98327,105115,Yes
Chip,2223,9468,7245,89795,92018,Yes
Chip,9674,13755,4081,25286,34960,No
Swipe,4133,33854,29722,35847,39980,No
Online,6119,89542,83423,1783,7902,Yes
Online,5482,48876,43394,67938,73420,No
Online,8915,73770,64854,25079,33994,Yes
Online,7013,29056,22043,66436,73448,No
Online,3090,20868,17778,7241,10331,Yes
Chip,80,27311,27230,85547,85628,No
Swipe,4589,22390,17801,67581,72170,No
Swipe,636,61104,60468,17540,18177,Yes
Chip,2499,59542,57043,61593,64092,Yes
Chip,710,94116,93406,89016,89726,Yes
Chip,2383,8904,6521,64141,66524,Yes
Swipe,9791,57688,47897,35227,45018,Yes
Online,1688,69326,67638,48130,49818,No
Swipe,5759,76184,70425,10267,16025,Yes
Online,1959,73031,71072,54774,56733,Yes
Chip,410,83412,83002,35942,36352,Yes
Chip,7031,74159,67128,87609,94640,No
Swipe,8568,36893,28325,38019,46587,No
Chip,5764,75443,69679,42461,48225,Yes
Online,9809,89656,79846,39985,49794,Yes
Chip,215,40778,40563,61542,61757,Yes
Online,7914,42476,34561,88964,96878,Yes
Swipe,6935,53762,46827,34903,41838,No
Swipe,5977,15896,9919,59666,65643,Yes
Online,5447,72492,67045,99023,104470,No
Online,3148,37698,34550,25447,28595,Yes
Chip,6620,67319,60699,94717,101337,Yes
Chip,4152,97119,92967,96879,101031,No
Online,635,88582,87948,9726,10361,No
Chip,2951,19712,16761,54318,57269,Yes
Online,6411,79786,73376,56027,62438,No
Swipe,7603,27115,19512,93511,101114,Yes
Swipe,1705,49673,47968,29032,30737,No
Online,3501,92320,88819,33514,37015,No
Online,454,52776,52323,13847,14301,No
Chip,8915,36320,27405,19256,28171,No
Chip,6750,80588,73838,31963,38713,No
Swipe,2372,40776,38404,41382,43754,No
Online,9018,51114,42096,24807,33825,Yes
Chip,1246,35375,34128,86878,88125,Yes
Swipe,702,88299,87597,35692,36394,Yes
Chip,9925,86508,76583,65250,75175,No
Swipe,7754,39286,31532,77992,85746,No
Swipe,4708,90016,85308,72391,77099,No
Swipe,24,46073,46049,65904,65928,No
Online,6476,97228,90753,42573,49049,Yes
Swipe,9491,39508,30017,43124,52615,Yes
Chip,5302,48374,43072,57525,62828,Yes
Chip,9674,13000,3326,83707,93381,Yes
Online,3574,31145,27571,63224,66799,Yes
Online,7992,76267,68274,82564,90557,Yes
Swipe,4909,51809,46899,74003,78912,No
Chip,5430,47433,42004,15571,21001,No
Online,4696,53525,48830,95896,100591,Yes
Swipe,4614,56832,52218,2852,7466,Yes
Online,6552,61817,55265,96729,103281,No
Chip,3383,66169,62786,19568,22951,Yes
Swipe,3541,32259,28717,59114,62656,No
Chip,6058,69044,62986,31858,37915,No
Online,1184,55011,53827,62441,63625,Yes
Online,8337,96836,88498,3327,11664,No
Online,6083,58696,52613,36298,42381,Yes
Chip,5906,29824,23918,42122,48028,No
Swipe,9107,14600,5493,6842,15949,Yes
Online,7714,19958,12244,34986,42700,No
Swipe,6324,34122,27798,8743,15067,Yes
Online,4311,64179,59868,3548,7859,No
Online,9476,26038,16562,75563,85040,No
Online,7236,54457,47221,28602,35838,No
Chip,2409,96476,94067,61909,64318,No
Swipe,4524,96314,91790,1361,5886,No
